ID,Name,Age,Hours_of_Sleep,Stress_Level,Exercise_Frequency,Work_Productivity,sleep_group
453,Liam,27,7.357312301,2.785489538,2,10.0,Normal
454,Evelyn,48,4.936550792,5.121837062,5,10.0,Low
455,Abigail,45,7.340269685,5.212975311,1,10.0,Normal
456,Mia,29,6.663260781,4.442675993,2,10.0,Normal
457,Logan,45,7.449502131,1.59776305,4,10.0,Normal
458,Logan,53,5.741405999,4.242142218,4,10.0,Low
459,Amelia,26,4.456771158,3.850063246,4,10.0,Low
460,Ethan,23,6.578961632,5.822879727,3,10.0,Normal
461,Noah,30,5.744904797,5.720981077,0,9.922492579,Low
462,Isabella,48,4.86333198,6.25592292,4,8.942404943,Low
463,Emma,55,7.921579924,4.148027454,1,10.0,Normal
464,Noah,44,8.921485873,6.545555901,4,10.0,High
465,Harper,40,6.043658277,2.387986534,3,10.0,Normal
466,Emma,55,6.909075007,1.856190535,5,10.0,Normal
467,Isabella,29,6.63065726,1.0,1,10.0,Normal
468,Sophia,56,6.209321894,4.501405521,3,10.0,Normal
469,Lucas,28,7.796484657,3.993403551,5,10.0,Normal
470,Ethan,43,8.212169753,7.078631224,1,9.67088045,High
471,Mason,54,5.957671373,4.202674826,2,10.0,Low
472,Sophia,54,7.053720241,6.046752696,0,9.234604351,Normal
473,Abigail,55,8.541439641,7.126593153,0,10.0,High
474,Mia,37,7.826843444,4.127361849,3,10.0,Normal
475,Abigail,58,8.005236926,6.09610442,5,10.0,High
476,Amelia,51,8.641582369,7.503855098,0,9.490252977,High
477,Jacob,43,8.625814207,3.02367445,5,10.0,High
478,Abigail,42,8.234371156,5.549704676,5,10.0,High
479,Noah,51,7.173924898,4.135931234,3,10.0,Normal
480,Mason,56,6.541020379,3.151020235,3,10.0,Normal
481,Emma,31,7.124173318,2.427096519,3,10.0,Normal
482,Emma,32,6.358711977,3.118702856,0,10.0,Normal
483,Noah,42,4.657015752,5.620058012,3,9.02735957,Low
484,Sophia,44,6.664601121,2.278311089,0,10.0,Normal
485,Mason,54,7.429031493,4.398545952,3,9.643616775,Normal
486,Isabella,49,6.295276699,7.126388814,4,10.0,Normal
487,Mia,36,6.768664255,6.398021927,5,9.380583063,Normal
488,Aarav,39,6.815155941,4.438984754,3,10.0,Normal
489,Harper,44,8.628228129,8.879380827,1,9.400457681,High
490,Sophia,41,6.568675271,9.286072828,5,8.716369248,Normal
491,Mia,32,8.627960059,5.552244863,5,10.0,High
492,Olivia,38,4.0,1.0,3,10.0,Low
493,Emma,55,8.617426938,7.272896394,2,10.0,High
494,Olivia,31,8.556887338,1.0,3,10.0,High
495,Aarav,38,8.082705608,8.452292221,5,9.767712416,High
496,Jacob,31,4.585698396,7.667169801,1,7.322549065,Low
497,Isabella,28,8.222664394,9.048425008,5,8.907548312,High
498,Mason,26,6.939856989,6.020531117,1,10.0,Normal
499,Jacob,47,4.0,4.777228466,0,8.487108053,Low
500,Harper,33,8.557813249,4.599797733,4,10.0,High
